,id,show_id,title,director,country,release_year,duration,listed_in,score,director1,cast1,cast2,cast3,country1,duration1,listed_in1,listed_in2,score1
15,15,s21,??Kuch Bheege Alfaaz,Onir,India,2018,110 min,"Dramas, Independent Movies, International Movies",3,440,991,673,616,173,110,Dramas,12,5
16,16,s22,?Goli Soda 2,Vijay Milton,India,2018,128 min,"Action & Adventure, Dramas, International Movies",4,357,351,155,248,173,128,Action & Adventure,0,4
17,17,s23,?Maj Rati ??Keteki,Santwana Bardoloi,India,2017,117 min,"Dramas, International Movies",2,173,436,336,281,173,117,Dramas,12,4
18,18,s24,?Mayurakshi,Atanu Ghosh,India,2017,100 min,"Dramas, International Movies",3,231,914,843,91,173,100,Dramas,12,5
19,19,s28,#Alive,Cho Il,South Korea,2020,99 min,"Horror Movies, International Movies, Thrillers",3,907,573,714,602,311,99,Horror Movies,13,5
20,20,s29,#AnneFrank - Parallel Stories,"Sabina Fedeli, Anna Migotto",Italy,2019,95 min,"Documentaries, International Movies",2,27,674,74,222,217,95,Documentaries,10,4
21,21,s32,#FriendButMarried,Rako Prijanto,Indonesia,2018,102 min,"Dramas, International Movies, Romantic Movies",5,303,444,627,548,192,102,Dramas,12,5
22,22,s33,#FriendButMarried 2,Rako Prijanto,Indonesia,2020,104 min,"Dramas, International Movies, Romantic Movies",4,205,414,910,5,192,104,Dramas,12,4
23,23,s34,#realityhigh,Fernando Lebrija,United States,2017,99 min,Comedies,4,632,631,613,347,440,99,Comedies,7,4
24,24,s35,#Roxy,Michael Kennedy,Canada,2018,105 min,"Comedies, Romantic Movies",5,699,456,729,111,39,105,Comedies,7,5
25,25,s37,#Selfie,Cristina Jacob,Romania,2014,125 min,"Comedies, Dramas, International Movies",1,566,459,977,210,283,125,Comedies,7,3
26,26,s38,#Selfie 69,Cristina Jacob,Romania,2016,119 min,"Comedies, Dramas, International Movies",3,323,315,780,180,283,119,Comedies,7,5
27,27,s40,"?Ay, mi madre!",Frank Ariza,Spain,2019,81 min,"Comedies, International Movies",1,838,34,171,612,317,81,Comedies,7,3
28,28,s41,?arsi Pazar,Muharrem G¨¹lmez,Turkey,2015,97 min,"Comedies, International Movies",5,232,199,184,354,357,97,Comedies,7,5
29,29,s42,¨¦g man tig,¨®skar Th¨®r Axelsson,Iceland,2017,106 min,"Horror Movies, International Movies",2,707,869,546,907,171,106,Horror Movies,13,4
30,30,s43,?ok Filim Hareketler Bunlar,Ozan A??ktan,Turkey,2010,99 min,"Comedies, International Movies",1,212,792,344,923,357,99,Comedies,7,3
31,31,s44,¨°l¨°t¨±r¨¦,Kenneth Gyang,Nigeria,2020,107 min,"Dramas, International Movies",2,246,75,261,235,257,107,Dramas,12,4
32,32,s45,?on Flux,Karyn Kusama,United States,2005,93 min,"Action & Adventure, Sci-Fi & Fantasy",5,12,378,500,327,440,93,Action & Adventure,0,5
33,33,s47,1 Chance 2 Dance,Adam Deyoe,United States,2014,89 min,"Dramas, Romantic Movies",3,265,941,51,486,440,89,Dramas,12,5
34,34,s48,1 Mile to You,Leif Tilden,United States,2017,105 min,"Dramas, Romantic Movies, Sports Movies",5,173,758,772,805,440,105,Dramas,12,5
35,35,s49,10 Days in Sun City,Adze Ugah,"South Africa, Nigeria",2017,87 min,"Comedies, International Movies, Romantic Movies",1,311,807,305,805,307,87,Comedies,7,3
36,36,s50,10 jours en or,Nicolas Brossette,France,2012,97 min,"Comedies, Dramas, International Movies",2,440,499,376,147,106,97,Comedies,7,4
37,37,s51,"10,000 B.C.",Roland Emmerich,"United States, South Africa",2008,109 min,Action & Adventure,4,435,703,293,515,510,109,Action & Adventure,0,4
38,38,s55,100 Meters,Marcel Barrena,"Portugal, Spain",2016,109 min,"Dramas, International Movies, Sports Movies",4,369,218,698,258,282,109,Dramas,12,4
39,39,s58,100% Halal,Jastis Arimba,Indonesia,2020,101 min,"Dramas, International Movies",2,0,372,512,339,192,101,Dramas,12,4
40,40,s60,1000 Rupee Note,Shrihari Sathe,India,2014,89 min,"Dramas, International Movies",2,239,325,422,210,173,89,Dramas,12,4
41,41,s61,12 ROUND GUN,Sam Upton,United States,2017,90 min,"Dramas, Independent Movies, Sports Movies",2,163,640,888,677,440,90,Dramas,12,4
42,42,s63,13 Cameras,Victor Zarcoff,United States,2015,90 min,"Horror Movies, Independent Movies, Thrillers",3,440,81,558,289,440,90,Horror Movies,13,5
43,43,s66,13 Sins,Daniel Stamm,United States,2014,93 min,"Horror Movies, Thrillers",2,39,917,150,963,440,93,Horror Movies,13,4
44,44,s69,14 Blades,Daniel Lee,"Hong Kong, China, Singapore",2010,113 min,"Action & Adventure, International Movies",4,521,540,728,253,165,113,Action & Adventure,0,4
45,45,s70,14 Cameras,"Scott Hussion, Seth Fuller",United States,2018,89 min,"Horror Movies, Thrillers",3,440,351,102,403,440,89,Horror Movies,13,5
46,46,s72,16 Blocks,Richard Donner,"United States, Germany",2006,102 min,Action & Adventure,3,361,151,316,292,477,102,Action & Adventure,0,5
47,47,s73,17 Again,Burr Steers,United States,2009,102 min,Comedies,2,173,930,686,37,440,102,Comedies,7,4
48,48,s74,18 Presents,Francesco Amato,Italy,2020,114 min,"Dramas, Independent Movies, International Movies",2,35,497,563,909,217,114,Dramas,12,4
49,49,s75,1898: Our Last Men in the Philippines,Salvador Calvo,Spain,2016,130 min,"Dramas, International Movies",2,39,510,367,480,317,130,Dramas,12,4
50,50,s76,1BR,David Marmor,United States,2019,90 min,"Horror Movies, Independent Movies, Thrillers",0,317,590,192,229,440,90,Horror Movies,13,2
51,51,s77,1st Summoning,Raymond Wood,United States,2018,94 min,"Horror Movies, Independent Movies",3,440,112,617,465,440,94,Horror Movies,13,5
52,52,s78,2 Alone in Paris,"Ramzy Bedia, ¨¦ric Judor",France,2008,97 min,"Comedies, International Movies",0,440,26,10,1000,106,97,Comedies,7,2
53,53,s79,2 States,Abhishek Varman,India,2014,143 min,"Comedies, Dramas, International Movies",5,440,433,722,482,173,143,Comedies,7,5
54,54,s80,20 Feet From Stardom,Morgan Neville,United States,2013,91 min,"Documentaries, Music & Musicals",1,106,531,451,1,440,91,Documentaries,10,3
55,55,s83,2036 Origin Unknown,Hasraf Dulull,United Kingdom,2018,95 min,Sci-Fi & Fantasy,5,173,190,212,560,369,95,Sci-Fi & Fantasy,24,5
56,56,s84,20th Century Women,Mike Mills,United States,2016,119 min,"Dramas, Independent Movies",3,12,459,83,862,440,119,Dramas,12,5
57,57,s85,21 & Over,"Jon Lucas, Scott Moore",United States,2013,93 min,Comedies,0,167,608,633,686,440,93,Comedies,7,2
58,58,s89,2307: Winter's Dream,Joey Curtis,United States,2016,101 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",5,173,760,581,97,440,101,Action & Adventure,0,5
59,59,s90,24 Hours to Live,Brian Smrz,"South Africa, China, United States",2017,93 min,Action & Adventure,1,440,647,976,369,305,93,Action & Adventure,0,3
60,60,s91,25 Kille,Simranjit Singh Hundal,India,2016,140 min,"Action & Adventure, Dramas, International Movies",1,58,374,709,412,173,140,Action & Adventure,0,3
61,61,s92,26 Years,Geun-hyun Cho,South Korea,2012,135 min,"Dramas, International Movies, Thrillers",4,362,17,845,22,311,135,Dramas,12,4
62,62,s93,"27, el club de los malditos",Nicanor Loreti,Argentina,2018,82 min,"Action & Adventure, Comedies, International Movies",1,29,635,295,662,0,82,Action & Adventure,0,3
63,63,s94,27: Gone Too Soon,Simon Napier-Bell,United Kingdom,2017,70 min,Documentaries,0,29,905,702,386,369,70,Documentaries,10,2
64,64,s95,28 Days,Betty Thomas,United States,2000,104 min,"Comedies, Dramas",3,440,10,472,213,440,104,Comedies,7,5
65,65,s97,3 Days to Kill,McG,"United States, France, Serbia",2014,117 min,Action & Adventure,3,440,159,704,463,475,117,Action & Adventure,0,5
66,66,s99,3 Generations,Gaby Dellal,United States,2015,92 min,"Dramas, LGBTQ Movies",2,430,635,247,964,440,92,Dramas,12,4
67,67,s100,3 Heroines,Iman Brotoseno,Indonesia,2016,124 min,"Dramas, International Movies, Sports Movies",1,440,716,321,348,192,124,Dramas,12,3
68,68,s101,3 Idiots,Rajkumar Hirani,India,2009,164 min,"Comedies, Dramas, International Movies",3,459,954,637,823,173,164,Comedies,7,5
69,69,s103,3 T¨¹rken & ein Baby,Sinan Akku?,Germany,2015,93 min,"Comedies, International Movies",5,369,106,541,329,144,93,Comedies,7,5
70,70,s104,30 Days of Luxury,Hani Hamdi,Egypt,2016,91 min,"Comedies, International Movies",5,349,275,990,139,100,91,Comedies,7,5
71,71,s105,30 Minutes or Less,Ruben Fleischer,United States,2011,83 min,"Action & Adventure, Comedies",4,227,335,10,299,440,83,Action & Adventure,0,4
72,72,s106,300 Miles to Heaven,Maciej Dejczer,"Denmark, France, Poland",1989,93 min,"Dramas, International Movies",4,173,722,949,225,93,93,Dramas,12,4
73,73,s107,365 Days,"Barbara Bia?ow?s, Tomasz Mandes",Poland,2020,114 min,"Dramas, International Movies, Romantic Movies",4,0,139,427,119,277,114,Dramas,12,4
74,74,s108,37 Seconds,Hikari,Japan,2020,116 min,"Dramas, International Movies",4,173,321,996,490,227,116,Dramas,12,4
75,75,s110,40 Sticks,Victor Gatonye,Kenya,2019,93 min,"International Movies, Thrillers",3,173,779,796,88,229,93,International Movies,15,5
76,76,s111,42 Grams,Jack C. Newell,United States,2017,81 min,Documentaries,3,440,534,890,251,440,81,Documentaries,10,5
77,77,s114,48 Christmas Wishes,"Marco Deufemia, Justin G. Dyck",Canada,2017,84 min,"Children & Family Movies, Comedies",0,500,325,489,480,39,84,Children & Family Movies,4,2
78,78,s115,4L,Gerardo Olivares,Spain,2019,105 min,"Comedies, Dramas, Independent Movies",4,440,996,289,454,317,105,Comedies,7,4
79,79,s116,4th Man Out,Andrew Nackman,United States,2015,86 min,"Comedies, LGBTQ Movies",2,173,67,944,265,440,86,Comedies,7,4
80,80,s117,4th Republic,Ishaya Bako,Nigeria,2019,120 min,"Dramas, International Movies, Thrillers",2,173,977,623,31,257,120,Dramas,12,4
81,81,s119,5 Flights Up,Richard Loncraine,United States,2014,92 min,"Comedies, Dramas, Independent Movies",2,173,770,11,335,440,92,Comedies,7,4
82,82,s120,5 Star Christmas,Marco Risi,Italy,2018,96 min,"Comedies, International Movies",0,173,638,291,919,217,96,Comedies,7,2
83,83,s121,5 to 7,Victor Levin,United States,2014,97 min,"Comedies, Dramas, Romantic Movies",0,173,566,271,360,440,97,Comedies,7,2
84,84,s122,50 First Dates,Peter Segal,United States,2004,99 min,"Comedies, Romantic Movies",3,173,150,398,668,440,99,Comedies,7,5
85,85,s123,50/50,Jonathan Levine,United States,2011,100 min,"Comedies, Dramas, Independent Movies",4,173,427,598,378,440,100,Comedies,7,4
86,86,s124,5CM,Rizal Mantovani,Indonesia,2012,126 min,"Dramas, International Movies",2,173,109,484,223,192,126,Dramas,12,4
87,87,s125,5Gang,Matei Dima,Romania,2019,96 min,"Comedies, International Movies",4,239,997,12,191,283,96,Comedies,7,4
88,88,s126,6 Balloons,Marja Lewis Ryan,United States,2018,75 min,"Dramas, Independent Movies",1,440,979,212,741,440,75,Dramas,12,3
89,89,s127,6 Days,Toa Fraser,"New Zealand, United Kingdom",2017,94 min,"Action & Adventure, Dramas, International Movies",2,173,237,179,422,254,94,Action & Adventure,0,4
90,90,s128,6 Underground,Michael Bay,United States,2019,129 min,"Action & Adventure, Dramas",2,448,62,231,551,440,129,Action & Adventure,0,4
91,91,s129,6 Years,Hannah Fidell,United States,2015,80 min,"Dramas, Independent Movies, Romantic Movies",4,317,658,907,550,440,80,Dramas,12,4
92,92,s130,6-5=2,Bharat Jain,India,2014,103 min,"Horror Movies, International Movies, Thrillers",1,536,354,27,696,173,103,Horror Movies,13,3
93,93,s132,68 Kill,Trent Haaga,United States,2017,96 min,"Comedies, Independent Movies, Thrillers",2,239,458,303,13,440,96,Comedies,7,4
94,94,s133,7 (Seven),Nizar Shafi,India,2019,1 Season,TV Shows,4,440,195,205,213,173,1,TV Shows,30,4
95,95,s134,7 a?os,Roger Gual,Spain,2016,77 min,"Dramas, International Movies",4,101,890,632,744,317,77,Dramas,12,4
96,96,s136,7 Din Mohabbat In,"Meenu Gaur, Farjad Nabi",Pakistan,2018,137 min,"Comedies, International Movies, Music & Musicals",3,122,268,699,644,265,137,Comedies,7,5
97,97,s137,7 Khoon Maaf,Vishal Bhardwaj,India,2011,148 min,"Dramas, International Movies, Thrillers",1,535,513,566,523,173,148,Dramas,12,3
98,98,s144,90 ML,Anita Udeep,India,2019,123 min,"Comedies, International Movies, Music & Musicals",1,362,692,323,355,173,123,Comedies,7,3
99,99,s145,93 Days,Steve Gukas,Nigeria,2016,121 min,"Dramas, International Movies, Thrillers",3,357,249,838,807,257,121,Dramas,12,5
100,100,s146,A 2nd Chance,Clay Glen,Australia,2011,95 min,"Children & Family Movies, Dramas, Sports Movies",1,440,203,232,364,10,95,Children & Family Movies,4,3
101,101,s148,A Babysitter's Guide to Monster Hunting,Rachel Talalay,United States,2020,99 min,Children & Family Movies,3,440,954,707,77,440,99,Children & Family Movies,4,5
102,102,s149,A Bad Moms Christmas,"Jon Lucas, Scott Moore","United States, China",2017,104 min,Comedies,4,10,99,212,694,461,104,Comedies,7,4
103,103,s150,A Beautiful Life,Andrew Lau Wai-Keung,"China, Hong Kong",2011,122 min,"Dramas, International Movies, Romantic Movies",5,316,508,246,916,72,122,Dramas,12,5
104,104,s151,A Billion Colour Story,Padmakumar Narasimhamurthy,India,2016,104 min,"Dramas, Independent Movies, International Movies",4,440,240,12,192,173,104,Dramas,12,4
105,105,s152,A Boy Called Po,John Asher,United States,2016,94 min,"Dramas, Sci-Fi & Fantasy",5,29,689,351,633,440,94,Dramas,12,5
106,106,s154,A Bridge Too Far,Richard Attenborough,"United States, United Kingdom",1977,176 min,"Action & Adventure, Classic Movies, Dramas",4,440,760,531,730,521,176,Action & Adventure,0,4
107,107,s155,A California Christmas,Shaun Paul Piccinino,United States,2020,107 min,"Comedies, Romantic Movies",2,440,247,440,931,440,107,Comedies,7,4
108,108,s156,A Champion Heart,David de Vos,United States,2018,90 min,"Children & Family Movies, Dramas",3,440,262,365,127,440,90,Children & Family Movies,4,5
109,109,s157,A Chaster Marriage,Umut Kirca,Turkey,2016,94 min,"Comedies, International Movies, Romantic Movies",1,440,246,494,936,357,94,Comedies,7,3
110,110,s158,A Choo,"Kevin Ko, Peter Tsi",Taiwan,2020,101 min,"Action & Adventure, International Movies, Romantic Movies",1,303,750,206,136,349,101,Action & Adventure,0,3
111,111,s160,A Christmas Prince,Alex Zamm,United States,2017,92 min,"Children & Family Movies, Dramas, Romantic Movies",4,750,807,542,750,440,92,Children & Family Movies,4,4
112,112,s161,A Christmas Prince: The Royal Baby,John Schultz,United States,2019,85 min,"Children & Family Movies, Dramas, Romantic Movies",4,428,758,78,428,440,85,Children & Family Movies,4,4
113,113,s162,A Christmas Prince: The Royal Wedding,John Schultz,United States,2018,93 min,"Children & Family Movies, Dramas, Romantic Movies",5,146,44,643,146,440,93,Children & Family Movies,4,5
114,114,s163,A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,Thomas Astruc,"France, South Korea, Japan",2016,22 min,Movies,3,435,420,465,435,137,22,Movies,19,3
115,115,s164,A Cinderella Story,Mark Rosman,"United States, Canada",2004,95 min,"Children & Family Movies, Comedies",1,32,337,429,32,450,95,Children & Family Movies,4,3
116,116,s165,A Cinderella Story: Christmas Wish,Michelle Johnston,United States,2019,86 min,"Children & Family Movies, Comedies, Music & Musicals",4,676,878,48,676,440,86,Children & Family Movies,4,4
117,117,s166,A Clockwork Orange,Stanley Kubrick,"United Kingdom, United States",1971,137 min,"Classic Movies, Cult Movies, Dramas",2,851,592,720,851,430,137,Classic Movies,6,4
118,118,s167,A Dangerous Woman,Stephen Gyllenhaal,United States,1993,101 min,"Dramas, Romantic Movies",3,526,681,621,526,440,101,Dramas,12,5
119,119,s168,A Fairly Odd Summer,Savage Steve Holland,United States,2014,68 min,"Children & Family Movies, Comedies",2,161,510,579,161,440,68,Children & Family Movies,4,4
120,120,s169,A Fall from Grace,Tyler Perry,United States,2020,121 min,"Dramas, Thrillers",0,204,853,593,204,440,121,Dramas,12,2
121,121,s170,A Family Affair,Tom Fassaert,"Netherlands, Denmark, South Africa",2015,111 min,"Documentaries, International Movies",2,290,883,349,290,251,111,Documentaries,10,4
122,122,s171,A Family Man,Mark Williams,"Canada, United States",2016,110 min,Dramas,4,255,581,515,255,58,110,Dramas,12,4
123,123,s172,A Family Reunion Christmas,Robbie Countryman,United States,2019,29 min,Movies,2,20,14,815,20,440,29,Movies,19,2
124,124,s173,A Flying Jatt,Remo D'Souza,India,2016,142 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy",5,537,45,407,537,173,142,Action & Adventure,0,5
125,125,s174,A Fortunate Man,Bille August,Denmark,2018,168 min,"Dramas, International Movies",4,141,915,295,141,90,168,Dramas,12,4
126,126,s175,A Futile and Stupid Gesture,David Wain,United States,2018,102 min,Comedies,5,752,478,490,752,440,102,Comedies,7,5
127,127,s176,A Ghost Story,David Lowery,United States,2017,92 min,"Dramas, Independent Movies",0,728,495,256,728,440,92,Dramas,12,2
128,128,s177,A Glimpse Inside the Mind of Charles Swan III,Roman Coppola,United States,2012,86 min,"Comedies, Independent Movies",1,294,452,339,294,440,86,Comedies,7,3
129,129,s178,A Go! Go! Cory Carson Christmas,"Stanley Moore, Alex Woo",United States,2020,22 min,Children & Family Movies,3,338,704,129,338,440,22,Children & Family Movies,4,5
130,130,s182,A Grand Night In: The Story of Aardman,Richard Mears,United Kingdom,2015,59 min,Documentaries,4,836,763,825,836,369,59,Documentaries,10,4
131,131,s184,A Haunted House,Michael Tiddes,United States,2013,86 min,"Comedies, Horror Movies",1,330,989,993,330,440,86,Comedies,7,3
132,132,s185,A Haunting at Silver Falls: The Return,Teo Konuralp,United States,2019,80 min,"Horror Movies, Independent Movies",3,538,130,781,538,440,80,Horror Movies,13,5
133,133,s186,A Heavy Heart,Thomas Stuber,Germany,2015,109 min,"Dramas, Independent Movies, International Movies",3,616,113,409,616,144,109,Dramas,12,5
134,134,s187,A Holiday Engagement,Jim Fall,United States,2011,92 min,"Children & Family Movies, Comedies, Romantic Movies",1,19,85,716,19,440,92,Children & Family Movies,4,3
135,135,s188,A Home with A View,Herman Yau,Hong Kong,2019,92 min,"Comedies, International Movies",3,681,879,597,681,163,92,Comedies,7,5
136,136,s190,A Kid from Coney Island,"Coodie, Chike","United States, China",2019,89 min,"Documentaries, Sports Movies",1,780,314,389,780,461,89,Documentaries,10,3
137,137,s191,A Kind of Murder,Andy Goddard,United States,2016,96 min,Thrillers,3,452,724,767,452,440,96,Thrillers,31,3
138,138,s193,A Land Imagined,Yeo Siew Hua,"France, Netherlands, Singapore",2019,95 min,"Dramas, International Movies",2,735,11,470,735,133,95,Dramas,12,4
139,139,s197,A Little Chaos,Alan Rickman,United Kingdom,2014,113 min,"Dramas, Independent Movies, International Movies",1,674,337,610,674,369,113,Dramas,12,3
140,140,s202,A Love Story,Maryo J. De los Reyes,Philippines,2007,117 min,"Dramas, International Movies, Romantic Movies",5,896,203,345,896,272,117,Dramas,12,5
141,141,s204,A Mighty Team,Thomas Sorriaux,France,2016,97 min,"Comedies, International Movies, Sports Movies",3,749,959,478,749,106,97,Comedies,7,5
142,142,s206,A Monster Calls,J.A. Bayona,"United Kingdom, Spain, United States",2016,108 min,"Dramas, Sci-Fi & Fantasy",5,784,371,195,784,427,108,Dramas,12,5
143,143,s207,A Most Violent Year,J.C. Chandor,"United Arab Emirates, United States",2014,125 min,"Dramas, Thrillers",5,31,647,619,31,367,125,Dramas,12,5
144,144,s210,A New York Christmas Wedding,Otoja Abit,United States,2020,90 min,"Dramas, LGBTQ Movies, Romantic Movies",1,600,732,619,600,440,90,Dramas,12,3
145,145,s211,A Night at the Roxbury,John Fortenberry,United States,1998,82 min,"Comedies, Cult Movies",0,972,32,660,972,440,82,Comedies,7,2
146,146,s212,A Noble Intention,Joram L¨¹rsen,Netherlands,2015,111 min,"Dramas, International Movies",5,319,735,477,319,247,111,Dramas,12,5
147,147,s213,A Patch of Fog,Michael Lennox,United Kingdom,2015,92 min,"Dramas, Thrillers",3,360,456,502,360,369,92,Dramas,12,5
148,148,s215,A Perfect Ending,Nicole Conn,United States,2012,110 min,"Dramas, Independent Movies, LGBTQ Movies",2,484,813,11,484,440,110,Dramas,12,4
149,149,s216,A Perfect Man,Kees Van Oostrum,United States,2013,94 min,"Dramas, Independent Movies, Romantic Movies",1,855,470,567,855,440,94,Dramas,12,3
150,150,s218,A Princess for Christmas,Michael Damian,United States,2011,91 min,"Children & Family Movies, Dramas, Romantic Movies",1,742,764,541,742,440,91,Children & Family Movies,4,3
151,151,s219,A Queen Is Born,Carla Barros,Brazil,2020,1 Season,"International TV Shows, Reality TV",1,331,543,430,331,29,1,International TV Shows,16,1
152,152,s220,A Remarkable Tale,Marina Seresesky,Spain,2019,94 min,"Comedies, International Movies",3,570,50,202,570,317,94,Comedies,7,5
153,153,s221,A Russell Peters Christmas,Henry Sarwer-Foner,Canada,2011,44 min,Stand-Up Comedy,4,391,276,507,391,39,44,Stand-Up Comedy,25,4
154,154,s222,A Scandall,Ishaan Trivedi,India,2016,108 min,"International Movies, Thrillers",4,457,847,23,457,173,108,International Movies,15,4
155,155,s223,A Second Chance,Cathy Garcia-Molina,Philippines,2015,130 min,"Dramas, International Movies, Romantic Movies",0,952,460,61,952,272,130,Dramas,12,2
156,156,s225,A Separation,Asghar Farhadi,"Iran, France",2011,123 min,"Dramas, International Movies",4,725,541,281,725,198,123,Dramas,12,4
157,157,s227,A Serious Man,"Ethan Coen, Joel Coen","United States, United Kingdom, France",2009,106 min,"Comedies, Independent Movies",1,989,191,86,989,527,106,Comedies,7,3
158,158,s228,A Shaun the Sheep Movie: Farmageddon,"Richard Phelan, Will Becher","United Kingdom, France, Belgium, United States, China",2020,87 min,"Children & Family Movies, Comedies",2,77,925,290,77,389,87,Children & Family Movies,4,4
159,159,s229,A Silent Voice,Naoko Yamada,Japan,2016,130 min,"Anime Features, International Movies",1,768,966,716,768,227,130,Anime Features,1,3
160,160,s230,A Single Man,Tom Ford,United States,2009,100 min,"Dramas, Independent Movies, LGBTQ Movies",4,515,306,568,515,440,100,Dramas,12,4
161,161,s231,A Sort of Family,Diego Lerman,"Argentina, Brazil, France, Poland, Germany, Denmark",2017,96 min,"Dramas, International Movies, Thrillers",3,743,472,306,743,1,96,Dramas,12,5
162,162,s232,A Sort of Homecoming,Maria Burton,United States,2015,89 min,"Dramas, Independent Movies",4,965,77,364,965,440,89,Dramas,12,4
163,163,s233,A Stoning in Fulham County,Larry Elikann,United States,1988,95 min,Dramas,3,457,419,129,457,440,95,Dramas,12,5
164,164,s234,A StoryBots Christmas,"Evan Spiridellis, Jeff Gill",United States,2017,26 min,"Children & Family Movies, Comedies",1,73,362,856,73,440,26,Children & Family Movies,4,3
165,165,s235,A Sun,Chung Mong-hong,Taiwan,2019,156 min,"Dramas, Independent Movies, International Movies",3,958,206,76,958,349,156,Dramas,12,5
166,166,s237,A Tale of Love and Darkness,Natalie Portman,"Israel, United States",2015,98 min,"Dramas, International Movies",1,791,156,502,791,216,98,Dramas,12,3
167,167,s239,A Thin Line Between Love & Hate,Martin Lawrence,United States,1996,108 min,"Comedies, Romantic Movies",4,104,447,183,104,440,108,Comedies,7,4
168,168,s241,A Thousand Words,Brian Robbins,United States,2012,92 min,Comedies,5,2,500,870,2,440,92,Comedies,7,5
169,169,s244,A Trip to Jamaica,Robert O. Peters,Nigeria,2016,99 min,"Comedies, International Movies",5,704,862,327,704,257,99,Comedies,7,5
170,170,s245,A truthful Mother,Ravishankar Venkateswaran,India,2020,85 min,Children & Family Movies,3,459,489,161,459,173,85,Children & Family Movies,4,5
171,171,s246,A Twelve Year Night,¨¢lvaro Brechner,"Uruguay, Argentina, Spain",2018,122 min,"Dramas, International Movies",0,551,368,594,551,538,122,Dramas,12,2
172,172,s247,A Very Country Christmas,Justin G. Dyck,"United States, Canada",2017,84 min,"Music & Musicals, Romantic Movies",2,459,537,638,459,450,84,Music & Musicals,20,2
173,173,s248,A Very Murray Christmas,Sofia Coppola,United States,2015,57 min,"Comedies, Music & Musicals",5,521,896,244,521,440,57,Comedies,7,5
174,174,s250,A Very Special Love,Cathy Garcia-Molina,Philippines,2008,107 min,"International Movies, Romantic Movies",4,652,14,854,652,272,107,International Movies,15,4
175,175,s251,A Walk to Remember,Adam Shankman,United States,2002,102 min,"Dramas, Romantic Movies",2,945,735,912,945,440,102,Dramas,12,4
176,176,s252,A Wednesday,Neeraj Pandey,India,2008,103 min,"Action & Adventure, Dramas, International Movies",2,211,950,715,211,173,103,Action & Adventure,0,4
177,177,s254,A Whisker Away,"Junichi Sato, Tomotaka Shibayama",Japan,2020,104 min,"Anime Features, Children & Family Movies, International Movies",2,626,110,724,626,227,104,Anime Features,1,4
178,178,s255,A Witches' Ball,Justin G. Dyck,Canada,2017,91 min,Children & Family Movies,2,903,70,501,903,39,91,Children & Family Movies,4,4
179,179,s256,A Wrinkle in Time,Ava DuVernay,United States,2018,110 min,Children & Family Movies,0,719,955,94,719,440,110,Children & Family Movies,4,2
180,180,s258,A Yellow Bird,K. Rajagopal,"Singapore, France",2016,111 min,"Dramas, Independent Movies, International Movies",0,70,7,672,70,297,111,Dramas,12,2
